case:concept:name,concept:name,start_timestamp,time:timestamp
35,operation_on_cell_2,start,21:21:05
35,operation_on_cell_2,end,21:21:10
35,transport_to_track_2,start,21:21:10
35,transport_to_track_2,end,21:21:15
36,transport_to_track_1,start,21:21:15
36,transport_to_track_1,end,21:21:25
36,transport_to_cell_1,start,21:21:25
36,transport_to_cell_1,end,21:21:25
36,operation_on_cell_1,start,21:21:25
36,operation_on_cell_1,end,21:21:35
36,transport_to_cell_2,start,21:21:35
36,transport_to_cell_2,end,21:21:45
36,operation_on_cell_2,start,21:21:45
36,operation_on_cell_2,end,21:21:45
36,transport_to_track_2,start,21:21:45
36,transport_to_track_2,end,21:21:45
37,transport_to_track_1,start,21:21:45
37,transport_to_track_1,end,21:21:45
37,transport_to_cell_1,start,21:21:45
37,transport_to_cell_1,end,21:21:50
37,operation_on_cell_1,start,21:21:50
37,operation_on_cell_1,end,21:21:55
37,transport_to_cell_2,start,21:21:55
37,transport_to_cell_2,end,21:22:00
37,operation_on_cell_2,start,21:22:00
37,operation_on_cell_2,end,21:22:00
37,transport_to_track_2,start,21:22:00
37,transport_to_track_2,end,21:22:00
38,transport_to_track_1,start,21:22:00
38,transport_to_track_1,end,21:22:05
38,transport_to_cell_1,start,21:22:05
38,transport_to_cell_1,end,21:22:10
38,operation_on_cell_1,start,21:22:10
38,operation_on_cell_1,end,21:22:20
38,transport_to_cell_2,start,21:22:20
38,transport_to_cell_2,end,21:22:25
38,operation_on_cell_2,start,21:22:25
38,operation_on_cell_2,end,21:22:30
38,transport_to_track_2,start,21:22:30
38,transport_to_track_2,end,21:22:35
39,transport_to_track_1,start,21:22:35
39,transport_to_track_1,end,21:22:45
39,transport_to_cell_1,start,21:22:45
39,transport_to_cell_1,end,21:22:45
39,operation_on_cell_1,start,21:22:45
39,operation_on_cell_1,end,21:22:45
39,transport_to_cell_2,start,21:22:45
39,transport_to_cell_2,end,21:22:55
39,operation_on_cell_2,start,21:22:55
39,operation_on_cell_2,end,21:22:55
39,transport_to_track_2,start,21:22:55
39,transport_to_track_2,end,21:23:00
40,transport_to_track_1,start,21:23:00
40,transport_to_track_1,end,21:23:00
40,transport_to_cell_1,start,21:23:00
40,transport_to_cell_1,end,21:23:10
40,operation_on_cell_1,start,21:23:10
40,operation_on_cell_1,end,21:23:10
40,transport_to_cell_2,start,21:23:10
40,transport_to_cell_2,end,21:23:20
40,operation_on_cell_2,start,21:23:20
40,operation_on_cell_2,end,21:23:30
40,transport_to_track_2,start,21:23:30
40,transport_to_track_2,end,21:23:40
41,transport_to_track_1,start,21:23:40
41,transport_to_track_1,end,21:23:40
41,transport_to_cell_1,start,21:23:40
41,transport_to_cell_1,end,21:23:55
41,operation_on_cell_1,start,21:23:55
41,operation_on_cell_1,end,21:24:00
41,transport_to_cell_2,start,21:24:00
41,transport_to_cell_2,end,21:24:05
41,operation_on_cell_2,start,21:24:05
41,operation_on_cell_2,end,21:24:15
41,transport_to_track_2,start,21:24:15
41,transport_to_track_2,end,21:24:15
42,transport_to_track_1,start,21:24:15
42,transport_to_track_1,end,21:24:25
42,transport_to_cell_1,start,21:24:25
42,transport_to_cell_1,end,21:24:30
42,operation_on_cell_1,start,21:24:30
42,operation_on_cell_1,end,21:24:45
42,transport_to_cell_2,start,21:24:45
42,transport_to_cell_2,end,21:24:45
42,operation_on_cell_2,start,21:24:45
42,operation_on_cell_2,end,21:24:50
42,transport_to_track_2,start,21:24:50
